127.0.0.1 - - [27/Jul/2025:21:42:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Jul/2025:21:42:43 +0530] "GET /ems/index.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:21:42:43 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [27/Jul/2025:21:42:52 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:21:42:53 +0530] "GET /ems/findAll HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:05:14 +0530] "GET /ems/findAll HTTP/1.1" 200 673
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:05:19 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:05:21 +0530] "GET /ems/findAll HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:05:23 +0530] "GET /ems/findAll HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:12:34 +0530] "GET /ems/allviews.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:12:37 +0530] "GET /ems/allviews.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:12:51 +0530] "GET /ems/WEB-INF/classes/org/jsp/EmployeeController.java HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:13:02 +0530] "GET /ems/index.jsp HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:13:07 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:13:09 +0530] "GET /ems/findAll HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:31:24 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:31:28 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:31:29 +0530] "GET /ems/findAll HTTP/1.1" 500 3648
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:40:13 +0530] "GET /ems/allviews.jsp HTTP/1.1" 500 2615
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:40:16 +0530] "GET /ems/allviews.jsp HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:40:25 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:40:29 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:40:31 +0530] "GET /ems/findAll HTTP/1.1" 500 3648
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:42:19 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:42:23 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:42:25 +0530] "GET /ems/findAll HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:45:38 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:45:42 +0530] "GET /ems/save?name=Suresh&job=developer&salary=20000 HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:45:44 +0530] "GET /ems/findAll HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:46:10 +0530] "GET /ems/findAll HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:46:41 +0530] "GET /ems/findAll HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:49:33 +0530] "GET /ems/findAll HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [27/Jul/2025:22:49:47 +0530] "GET /ems/findAll HTTP/1.1" 200 2804
